EXP,p,trial
0,403,5
0,405,12
0,405,16
0,405,25
0,405,29
0,405,30
0,405,31
0,405,33
0,406,11
0,406,13
0,406,14
0,406,15
0,406,17
0,406,23
0,406,29
0,406,32
0,406,34
0,406,4
0,406,6
0,406,7
0,408,29
0,409,13
0,409,32
0,409,6
0,410,21
0,410,9
0,411,2
0,411,24
0,411,29
0,411,30
0,411,6
0,412,22
0,412,24
0,413,2
0,413,8
0,415,15
0,415,17
0,415,18
0,415,21
0,415,22
0,415,23
0,415,25
0,415,29
0,415,30
0,417,33
0,419,19
0,419,20
0,419,9
0,421,14
0,421,16
0,421,25
0,421,26
0,421,28
0,421,29
0,421,31
1,403,35
1,403,49
1,406,35
1,417,13
1,417,21
1,417,32
1,417,39
1,417,63
1,417,65
1,417,67
1,417,68
1,419,14
1,420,53
2,411,23
2,411,53
2,415,43
2,415,59
2,415,60
2,416,17
3,406,20
3,406,26
3,406,35
3,406,41
3,406,42
3,406,43
3,406,49
3,406,50
3,406,56
3,406,57
3,408,10
3,408,35
3,408,65
3,409,43
3,409,5
3,409,7
3,412,7
3,413,56
3,414,26
3,415,30
3,415,36
3,415,38
3,415,40
3,415,48
3,416,19
3,416,35
3,416,49
3,419,37
3,420,40
3,420,41
3,420,42
3,421,17
